Id,00001
Description,Imported PO on 2024 August 28 60105249
Supplier Invoice Number,12345678
Vendor Name,AGLC
Payment Due Date,1/01/1970 7:00:00 AM
Date Expected,1/01/1970 7:00:00 AM
Subtotal,50000.00
Shipping,500.00
Recycle Fee,0.50
Deposit Amount,10.00
GST,2000.00
Total,52510.50


Sku,Name,PackageReference,Category,Subcategory,OrderedQty,CurrentQty,UnitCost,Total
700167,CRO Strawberry Mango Gummies Sativa 5 Pack - Spinach,,Edibles,Gummies,12.000,0,3.21,38.52
700445,IND Blue Razzleberry Gummies Hybrid 5 Pack - Pearls By Gron,,Edibles,Gummies,48.000,0,3.29,157.92
700948,IND The Pink One Sativa 1 Pack - No Future,,Edibles,Gummies,72.000,0,1.79,128.88
701052,IND Key Lime Cherry Revolt Sour Gummies Hybrid 10 g - No Future,,Edibles,Gummies,72.000,0,1.79,128.88
701051,IND Arctic Meltdown Blues Sour Gummies Hybrid 1 Pack - No Future,,Edibles,Gummies,72.000,0,1.79,128.88
700366,ORG Bedtime Blueberry Lemon CBN 3:8:1 Gummies Indica 4 Pack - Monjour Bare,,Edibles,Gummies,12.000,0,5.07,60.84
701116,iNA Orange 10 mg THC Gummies Sativa 5 g - Emprise Rapid,,Edibles,Gummies,24.000,0,2.12,50.88
701115,iNA BlueRaz 10 mg THC Gummies Indica 5 g - Emprise Rapid,,Edibles,Gummies,24.000,0,2.12,50.88
700721,TIL Chowie Wowie Balanced Chocolate Hybrid 1 Pack - Chowie Wowie,,Edibles,Chocolates,12.000,0,3.30,39.60
700503,IND Vanilla Double Stuffed Chocolate Cookie Hybrid 20 g - Indiva Life,,Edibles,Baked Goods & Pantry,24.000,0,2.69,64.56
202035,TWI Café Vanilla Delight Live Resin AIO Vape Pen Sativa 1 g - 7Acres,,Vapes,All-In-Ones,12.000,0,33.59,403.08
202090,UTS Gucci Fruit Dual Chamber Vape Cartridge Hybrid 1.2 g - Disco Fsh,,Vapes,All-In-Ones,12.000,0,27.98,335.76
201998,WSL Razzilicious AIO Disposable Vape Hybrid 1 g - General Admission,,Vapes,All-In-Ones,12.000,0,25.97,311.64
201700,MOT Cruise Control Fiji Fresh THC + CBD Vape Cartridge Sativa 2 g - BoxHot,,Vapes,510 Carts,12.000,0,34.99,419.88
201851,AUG Sour Cherry Vape Cartridge Indica 0.95 g - Back Forty,,Vapes,510 Carts,12.000,0,22.25,267.00
201706,HCW Promicuous Peach NFSW Liquid Diamond Vape Cartridge Indica 1 g - Adults Only,,Vapes,Liquid Diamond Carts,12.000,0,26.61,319.32
201077,MOT Blue Widow Vape Cartridge Indica 1 g - Debunk,,Vapes,510 Carts,12.000,0,20.99,251.88
201581,MER Gulupa Gulp Vape Cartridge Sativa 1 g - LITTI,,Vapes,510 Carts,24.000,0,18.89,453.36
201537,CRO Pink Lemonade Vape Cartridge Sativa 1.2 g - Spinach,,Vapes,510 Carts,12.000,0,23.44,281.28
201564,CRO Strawberry Slurricane Vape Cartridge Indica 1.2 g - Spinach,,Vapes,510 Carts,12.000,0,23.44,281.28
201969,AUR Tasty's Honeydew Vape Cartridge Sativa 1.2 g - Tasty's,,Vapes,510 Carts,12.000,0,21.68,260.16
201330,CBT Galactic Runtz Live Resin Vape Cartridge Indica 1 g - Tribal,,Vapes,Live Resin Carts,12.000,0,31.49,377.88
201996,STG Caribbean Crush Vape Cartridge Sativa 0.95 g - Trippy Sips,,Vapes,510 Carts,12.000,0,24.49,293.88
201818,MOT Kool Grape Vape Cartridge Sativa 0.95 g - Trippy Sips,,Vapes,510 Carts,12.000,0,24.49,293.88
200872,CRO Spinach Blueberry Dynamite Vape Cartridge Indica 1 g - Spinach,,Vapes,510 Carts,12.000,0,21.20,254.40
201532,FRE Slurricane Full Spectrum THCa Vape Cartridge Indica 1 g - Freedom Cannabis,,Vapes,510 Carts,24.000,0,22.39,537.36
201907,MOT Mango Slap Pod Indica 0.95 g - Rizzlers,,Vapes,Pod Systems,12.000,0,18.89,226.68
201831,DEC Razzilicious Blinker Vape Pod Hybrid 0.95 g - General Admission,,Vapes,Pod Systems,6.000,0,22.25,133.50
201317,AYC Jungle Fruit Vape Cartridge Indica 1 g - XPLOR,,Vapes,510 Carts,12.000,0,16.96,203.52
201949,VAL Sweet Island Skunk Full Spectrum Vape Cartridge Sativa 1.2 g - Versus,,Vapes,510 Carts,12.000,0,25.20,302.40
201239,AYC Berry n'Ice Vape Cartridge Hybrid 1 g - Fuego,,Vapes,510 Carts,12.000,0,18.55,222.60
201989,WSL Glitter Bomb Vape Cartridge Hybrid 0.95 g - General Admission,,Vapes,510 Carts,12.000,0,22.25,267.00
200958,DEC Tiger Blood Vape Cartridge Indica 0.95 g - General Admission,,Vapes,510 Carts,12.000,0,22.25,267.00
200243,TIL Purple Monkey Vape Cartridge Indica 1 g - Good Supply,,Vapes,510 Carts,12.000,0,22.40,268.80
202083,CPY Melon Motorcade Vape Cartridge Hybrid 1.2 g - Hiway,,Vapes,510 Carts,12.000,0,23.09,277.08
201881,AUX 232 Series Motorbreath Indica 1 g - Kolab,,Vapes,Live Resin Carts,12.000,0,27.99,335.88
201690,ADL Hard Hitters Blueberry Octane Liquid Diamond Vape Cartridge Hybrid 1 g - Endgame Hard Hitters,,Vapes,Liquid Diamond Carts,12.000,0,20.99,251.88
201619,CZI Granny Smith Live Terpene Vape Cartridge Sativa 1 g - Coterie,,Vapes,Live Resin Carts,6.000,0,22.77,136.62
